Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Pathology prognostics - Breast cancer"	"Pathology prognostics - Cervical cancer"	"Pathology prognostics - Colorectal cancer"	"Pathology prognostics - Endometrial cancer"	"Pathology prognostics - Glioma"	"Pathology prognostics - Head and neck cancer"	"Pathology prognostics - Liver cancer"	"Pathology prognostics - Lung cancer"	"Pathology prognostics - Melanoma"	"Pathology prognostics - Ovarian cancer"	"Pathology prognostics - Pancreatic cancer"	"Pathology prognostics - Prostate cancer"	"Pathology prognostics - Renal cancer"	"Pathology prognostics - Stomach cancer"	"Pathology prognostics - Testis cancer"	"Pathology prognostics - Thyroid cancer"	"Pathology prognostics - Urothelial cancer"
KCNE1B		ENSG00000276289	"Potassium voltage-gated channel subfamily E regulatory subunit 1B"	A0A087WTH5	21	7816675-7829926	"Predicted membrane proteins"				"Evidence at transcript level"	"Evidence at transcript level"	"No human protein/transcript evidence"	"Evidence at transcript level"	"Tissue enhanced"	"Detected in some"		"choroid plexus: 7.1;fallopian tube: 5.7;heart muscle: 6.2"	"Cell type enhanced"	"Detected in some"		"Endometrial ciliated cells: 1.1;Respiratory ciliated cells: 3.6"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			"Immune cell enhanced"	"Detected in some"		"basophil: 1.0;eosinophil: 1.0"	"Low lineage specificity"	"Detected in single"			"Cancer enhanced"	"Detected in some"		"Rhabdoid: 1.2;testis cancer: 1.1"	"Heart muscle - Cardiomyocytes"															NA	NA			"Cluster 46: Basophils - DNA binding"	"Cluster 88: Choroid plexus - Transmembrane transport"	"Cluster 20: Connective tissue cells - ECM organization"	"Cluster 56: Ciliated cells - Cilium assembly"				"unprognostic (5.41e-4)"	"unprognostic (8.78e-2)"		"unprognostic (7.14e-3)"	"unprognostic (1.35e-1)"	"unprognostic (3.34e-2)"		"unprognostic (1.78e-2)"	"unprognostic (3.08e-1)"	"unprognostic (7.47e-2)"	"unprognostic (3.24e-1)"		"unprognostic (1.73e-3)"	"unprognostic (6.59e-2)"	"unprognostic (1.49e-1)"		
KCNIP2	KCHIP2	ENSG00000120049	"Potassium voltage-gated channel interacting protein 2"	Q9NS61	10	101825974-101843920	"Predicted intracellular proteins, Transporters"	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"adipose tissue: 227.4;brain: 139.6;heart muscle: 307.5"	"Cell type enhanced"	"Detected in some"		"Bipolar cells: 47.6;Cardiomyocytes: 97.7;Cone photoreceptor cells: 24.1;Excitatory neurons: 23.0;Horizontal cells: 25.6;Inhibitory neurons: 41.0"	"Cancer enhanced"	"Detected in many"		"glioma: 3.2"	"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in single"		"naive B-cell: 1.5"	"Low lineage specificity"	"Detected in single"			"Low cancer specificity"	"Detected in all"			"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Heart muscle - Cardiomyocytes, Skin - Adipocytes (Skin)"	"Group enriched"	"Detected in all"	4	"amygdala: 96.8;basal ganglia: 234.9;cerebral cortex: 106.9;hippocampal formation: 142.6;olfactory bulb: 144.0"	"Low region specificity"	"Detected in all"			HPA066717			Approved	Vesicles		NA	NA			"Cluster 21: B-cells - Adaptive immune response"	"Cluster 44: Heart - Cardiac muscle contraction"	"Cluster 47: Retina - Visual perception"	"Cluster 35: Bipolar cells - Visual perception"	Vesicles		"HPA066717: "	"unprognostic (5.92e-2)"	"unprognostic (2.16e-1)"	"unprognostic (3.48e-3)"	"unprognostic (5.77e-4)"	"unprognostic (1.34e-1)"	"unprognostic (1.31e-3)"	"unprognostic (8.80e-2)"	"unprognostic (9.11e-3)"	"unprognostic (1.14e-1)"	"unprognostic (5.34e-2)"	"unprognostic (3.18e-2)"	"unprognostic (7.20e-2)"	"unprognostic (1.49e-9)"	"unprognostic (9.85e-2)"	"unprognostic (1.81e-1)"	"unprognostic (3.27e-1)"	"unprognostic (8.37e-4)"
KCNJ8	Kir6.1	ENSG00000121361	"Potassium inwardly rectifying channel subfamily J member 8"	Q15842	12	21764955-21775600	"Disease related genes, FDA approved drug targets, Metabolic proteins, Predicted membrane proteins, Transporters, Voltage-gated ion channels"	"Ion transport, Potassium transport, Transport"	"Ion channel, Voltage-gated channel"	"Disease variant, FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"heart muscle: 71.3"	"Cell type enhanced"	"Detected in some"		"Adipocytes: 15.7;Alveolar cells type 2: 19.4;Cardiomyocytes: 24.4;Hepatocytes: 23.0;Muller glia cells: 20.7;Sertoli cells: 74.6;Smooth muscle cells: 48.3"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in single"	15	"eosinophil: 1.5"	"Lineage enriched"	"Detected in single"	15	"granulocytes: 1.5"	"Cancer enhanced"	"Detected in many"		"Kidney cancer: 7.9;liver cancer: 9.2;Neuroblastoma: 11.1"	"Breast - Endothelial cells, Kidney - Fibroblasts, Skin - Endothelial cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in many"			HPA031066	Uncertain					NA	NA			"Cluster 49: Eosinophils - Unknown function"	"Cluster 18: Non-specific - Mitochondria"	"Cluster 68: Kidney - Mixed function"	"Cluster 72: Smooth muscle cells - ECM organization"			"HPA031066: AB_10602240"	"unprognostic (8.12e-3)"	"unprognostic (1.89e-1)"	"prognostic unfavorable (9.29e-4)"	"unprognostic (7.81e-2)"	"unprognostic (8.71e-2)"	"unprognostic (2.34e-1)"	"unprognostic (3.15e-2)"	"unprognostic (1.27e-1)"	"unprognostic (1.36e-2)"	"unprognostic (3.90e-2)"	"unprognostic (3.66e-3)"	"unprognostic (2.88e-2)"	"prognostic unfavorable (1.62e-6)"	"unprognostic (4.70e-3)"	"unprognostic (9.61e-2)"	"unprognostic (1.73e-2)"	"unprognostic (3.54e-3)"
KLHL31	"bA345L23.2, BKLHD6, KBTBD1"	ENSG00000124743	"Kelch like family member 31"	Q9H511	6	53647916-53665756	"Predicted intracellular proteins"	"Transcription, Transcription regulation"	Repressor		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"heart muscle: 51.3;skeletal muscle: 146.1;tongue: 34.8"	"Cell type enriched"	"Detected in some"	8	"Cardiomyocytes: 339.8"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in single"			"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Heart muscle - Cardiomyocytes, Skeletal muscle - Skeletal myocytes"	"Not detected"	"Not detected"			"Not detected"	"Not detected"									NA	NA				"Cluster 13: Striated muscle - Muscle contraction"	"Cluster 61: Liver - Metabolism"	"Cluster 77: Cardiomyocytes - Muscle contraction"				"unprognostic (7.27e-2)"	"unprognostic (6.18e-2)"	"unprognostic (2.31e-1)"	"unprognostic (1.10e-1)"	"unprognostic (1.67e-1)"	"unprognostic (7.67e-4)"	"unprognostic (2.23e-2)"	"unprognostic (1.25e-1)"	"unprognostic (2.55e-1)"	"unprognostic (3.98e-2)"	"unprognostic (5.50e-2)"	"unprognostic (4.24e-1)"	"unprognostic (1.09e-4)"	"unprognostic (8.73e-2)"	"unprognostic (2.88e-1)"	"unprognostic (1.23e-1)"	"unprognostic (1.40e-1)"
KLHL38	C8ORFK36	ENSG00000175946	"Kelch like family member 38"	Q2WGJ6	8	123645527-123652950	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"heart muscle: 56.7;skeletal muscle: 268.3;tongue: 76.9"	"Cell type enriched"	"Detected in single"	13	"Skeletal myocytes: 4.9"	"Group enriched"	"Detected in some"	5	"breast cancer: 1.3;melanoma: 1.8"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in single"		"skin cancer: 1.0"	"Adipose subcutaneous - Smooth muscle cells, Heart muscle - Cardiomyocytes"	"Low region specificity"	"Detected in single"			"Not detected"	"Not detected"			"HPA024770, HPA027115"	Uncertain		Approved	Nucleoplasm,Cytosol		Yes	NA				"Cluster 13: Striated muscle - Muscle contraction"	"Cluster 65: Breast cancer - Unknown function"	"Cluster 27: Skeletal myocytes - Muscle contraction"	Nucleoplasm	Cytosol	"HPA024770: AB_10599286, HPA027115: AB_10599950"	"unprognostic (8.62e-3)"	"unprognostic (3.86e-3)"	"unprognostic (1.02e-2)"	"unprognostic (8.94e-2)"	"unprognostic (4.68e-1)"	"unprognostic (2.09e-2)"	"unprognostic (8.20e-2)"	"unprognostic (2.13e-1)"	"unprognostic (1.54e-1)"	"unprognostic (4.02e-1)"	"unprognostic (1.19e-1)"	"unprognostic (5.77e-2)"	"unprognostic (5.73e-6)"	"unprognostic (8.46e-3)"	"unprognostic (3.82e-2)"	"unprognostic (6.52e-2)"	"unprognostic (2.84e-2)"
KLHL7	"KLHL6, RP42, SBBI26"	ENSG00000122550	"Kelch like family member 7"	Q8IXQ5	7	23105758-23177914	"Disease related genes, Human disease related genes, Predicted intracellular proteins"	"Ubl conjugation pathway"		"Disease variant, Retinitis pigmentosa"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"heart muscle: 50.8"	"Cell type enhanced"	"Detected in all"		"Cardiomyocytes: 146.0;Early spermatids: 522.1;Late spermatids: 327.6;Oligodendrocyte precursor cells: 161.7"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Heart muscle - Cardiomyocytes, Testis - Early spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA029491, HPA029492"	Uncertain		Enhanced	"Nucleoplasm,Plasma membrane,Cytosol"		NA	NA			"Cluster 2: Granulocytes - Unknown function"	"Cluster 43: Testis - Unknown function"	"Cluster 63: Non-specific - Unknown function"	"Cluster 49: Early spermatids - Spermatogenesis"	"Nucleoplasm, Cytosol"	"Plasma membrane"	"HPA029491: AB_10599605, HPA029492: AB_10600881"	"unprognostic (1.24e-2)"	"unprognostic (4.45e-1)"	"unprognostic (1.77e-1)"	"unprognostic (4.55e-2)"	"unprognostic (1.29e-2)"	"unprognostic (1.65e-2)"	"prognostic unfavorable (7.96e-4)"	"unprognostic (3.78e-1)"	"unprognostic (6.10e-2)"	"unprognostic (6.41e-3)"	"unprognostic (1.30e-1)"	"unprognostic (1.51e-1)"	"prognostic favorable (8.98e-5)"	"unprognostic (2.46e-2)"	"unprognostic (3.55e-3)"	"unprognostic (3.23e-2)"	"unprognostic (2.27e-2)"
KRBA1	KIAA1862	ENSG00000133619	"KRAB-A domain containing 1"	A5PL33	7	149714781-149734575	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"heart muscle: 40.2"	"Cell type enhanced"	"Detected in many"		"Muller glia cells: 12.2"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA021237, HPA050448"	Approved		Approved	Nucleoplasm,Cytosol		NA	NA			"Cluster 27: Non-specific - Gene expression"	"Cluster 44: Heart - Cardiac muscle contraction"	"Cluster 31: Non-specific - Transcription"	"Cluster 68: Muller glia cells - Visual perception"	Nucleoplasm	Cytosol	"HPA021237: AB_2134145, HPA050448: AB_2681129"	"unprognostic (2.19e-2)"	"unprognostic (9.01e-2)"	"unprognostic (8.06e-2)"	"unprognostic (7.48e-3)"	"unprognostic (6.75e-3)"	"unprognostic (5.59e-2)"	"unprognostic (1.01e-5)"	"unprognostic (3.41e-2)"	"unprognostic (1.51e-2)"	"unprognostic (1.42e-1)"	"prognostic favorable (2.77e-4)"	"unprognostic (2.55e-1)"	"unprognostic (6.33e-3)"	"unprognostic (9.62e-2)"	"unprognostic (4.29e-2)"	"unprognostic (1.47e-1)"	"unprognostic (9.31e-2)"
LDHB		ENSG00000111716	"Lactate dehydrogenase B"	P07195	12	21635342-21757857	"Disease related genes, Enzymes, FDA approved drug targets, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"		Oxidoreductase	"Disease variant, FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"heart muscle: 1947.7;kidney: 1726.6"	"Cell type enhanced"	"Detected in many"		"Cardiomyocytes: 2442.0;Cytotrophoblasts: 1757.6;Distal tubular cells: 2540.6;Proximal tubular cells: 2884.2;Syncytiotrophoblasts: 1595.9"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Heart muscle - Cardiomyocytes, Thyroid - Thyroid glandular cells"									"CAB004641, HPA019007"	Enhanced		Supported	Cytosol		No	No		560000000	"Cluster 20: T-cells - T-cell receptor"	"Cluster 39: Non-specific - Mitochondria"	"Cluster 45: Non-specific - Cell proliferation"	"Cluster 16: Non-specific - RNA binding"	Cytosol		"CAB004641: AB_425525, HPA019007: AB_2670008"	"unprognostic (2.93e-1)"	"unprognostic (9.20e-3)"	"unprognostic (6.10e-2)"	"unprognostic (1.11e-1)"	"unprognostic (5.39e-3)"	"unprognostic (1.36e-3)"	"unprognostic (1.61e-2)"	"unprognostic (1.72e-2)"	"unprognostic (5.34e-2)"	"unprognostic (8.40e-2)"	"unprognostic (2.91e-1)"	"unprognostic (6.41e-2)"	"prognostic favorable (2.51e-4)"	"unprognostic (1.31e-1)"	"unprognostic (1.71e-1)"	"unprognostic (2.55e-1)"	"unprognostic (9.32e-2)"
LDHD		ENSG00000166816	"Lactate dehydrogenase D"	Q86WU2	16	75111860-75116780	"Disease related genes, Enzymes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"		Oxidoreductase	"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"heart muscle: 85.6;liver: 135.5"	"Cell type enhanced"	"Detected in many"		"Distal enterocytes: 89.5;Gastric mucus-secreting cells: 38.2;Hepatocytes: 89.0;Proximal tubular cells: 120.1"	"Cancer enhanced"	"Detected in all"		"liver cancer: 32.7"	"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in some"		"basophil: 11.1"	"Group enriched"	"Detected in many"	45	"granulocytes: 11.1;monocytes: 4.8"	"Low cancer specificity"	"Detected in many"			"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Heart muscle - Cardiomyocytes, Kidney - Proximal tubular cells, Liver - Hepatocytes, Skin - Sebaceous gland cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA041766, HPA048639, HPA066148"	Enhanced		Approved	Cytosol		No	NA			"Cluster 34: Basophils - Unknown function"	"Cluster 39: Non-specific - Mitochondria"	"Cluster 40: Non-specific - Enzymes"	"Cluster 60: Proximal tubular cells - Absorption"	Cytosol		"HPA041766: AB_2677660, HPA048639: AB_2680473, HPA066148: AB_2685626"	"unprognostic (8.75e-2)"	"unprognostic (3.68e-3)"	"unprognostic (1.27e-1)"	"unprognostic (5.28e-2)"	"unprognostic (1.57e-1)"	"unprognostic (1.53e-1)"	"prognostic favorable (5.61e-4)"	"unprognostic (2.49e-3)"	"unprognostic (1.91e-1)"	"unprognostic (2.72e-1)"	"unprognostic (3.74e-1)"	"unprognostic (4.01e-1)"	"prognostic favorable (2.95e-14)"	"unprognostic (4.10e-3)"	"unprognostic (4.49e-2)"	"unprognostic (7.00e-2)"	"unprognostic (2.20e-1)"
LMAN1L	"ERGIC-53L, ERGL"	ENSG00000140506	"Lectin, mannose binding 1 like"	Q9HAT1	15	74812716-74825757	"Predicted intracellular proteins, Predicted membrane proteins"				"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at transcript level"	"Tissue enhanced"	"Detected in some"		"heart muscle: 31.7;lymphoid tissue: 25.7;prostate: 60.9;salivary gland: 20.7"	"Group enriched"	"Detected in some"	7	"Prostatic glandular cells: 5.6;Serous glandular cells: 3.4"	"Cancer enriched"	"Detected in single"	45	"prostate cancer: 2.2"	"Region enhanced"	"Detected in many"		"cerebellum: 13.3"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in some"	6	"prostate cancer: 5.8"	"Heart muscle - Cardiomyocytes, Prostate - Prostate glandular cells"	"Not detected"	"Not detected"			"Region enhanced"	"Detected in single"		"spinal cord: 1.4"							NA	NA				"Cluster 72: Non-specific - Transcription"	"Cluster 24: Prostate cancer - Lipid metabolism"	"Cluster 21: Serous glandular cells - Salivary secretion"								"unprognostic (4.51e-1)"							"unprognostic (2.44e-1)"		"unprognostic (4.26e-2)"	"unprognostic (3.09e-1)"		
LMO7	"FBX20, FBXO20, KIAA0858"	ENSG00000136153	"LIM domain 7"	Q8WWI1	13	75620434-75859870	"Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"heart muscle: 248.8"	"Cell type enhanced"	"Detected in many"		"Alveolar cells type 1: 714.7;Cardiomyocytes: 520.8"	"Low cancer specificity"	"Detected in all"			"Group enriched"	"Detected in many"	177	"amygdala: 12.6;basal ganglia: 19.9;cerebral cortex: 25.6;hippocampal formation: 14.9;white matter: 15.4"	"Immune cell enhanced"	"Detected in many"		"naive CD4 T-cell: 13.6"	"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Liver - Hepatocytes, Lung - Alveolar cells type 1, Stomach - Gastric mucous cells"	"Low region specificity"	"Detected in all"			"Group enriched"	"Detected in all"	5	"amygdala: 20.8;basal ganglia: 32.8;cerebral cortex: 26.6;hippocampal formation: 33.8"	"HPA020923, HPA050184"	Enhanced		Supported	"Actin filaments,Cytosol"		NA	NA		8200	"Cluster 32: T-cells - Unknown function"	"Cluster 8: Non-specific - Mitochondria"	"Cluster 20: Connective tissue cells - ECM organization"	"Cluster 41: Alveolar cells - Lung function"	"Actin filaments"	Cytosol	"HPA020923: AB_1852963, HPA050184: AB_2681045"	"unprognostic (2.07e-1)"	"unprognostic (1.97e-1)"	"unprognostic (1.28e-1)"	"prognostic unfavorable (5.12e-4)"	"unprognostic (1.75e-2)"	"unprognostic (1.44e-1)"	"unprognostic (1.57e-2)"	"unprognostic (1.97e-1)"	"unprognostic (1.52e-2)"	"unprognostic (3.42e-2)"	"prognostic unfavorable (3.51e-4)"	"unprognostic (2.14e-1)"	"prognostic favorable (7.75e-12)"	"unprognostic (2.49e-1)"	"unprognostic (2.82e-1)"	"unprognostic (1.08e-1)"	"unprognostic (8.33e-2)"
LMOD3		ENSG00000163380	"Leiomodin 3"	Q0VAK6	3	69106065-69123032	"Disease related genes, Human disease related genes, Predicted intracellular proteins"			"Disease variant, Nemaline myopathy"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"heart muscle: 111.2;skeletal muscle: 459.8;tongue: 228.2"	"Group enriched"	"Detected in many"	13	"Cardiomyocytes: 488.3;Skeletal myocytes: 399.9"	"Cancer enriched"	"Detected in single"	6	"head and neck cancer: 1.6"	"Region enriched"	"Detected in single"	4	"midbrain: 2.3"	"Low immune cell specificity"	"Detected in single"			"Low lineage specificity"	"Detected in single"			"Not detected"	"Not detected"			"Heart muscle - Cardiomyocytes, Skeletal muscle - Skeletal myocytes"	"Not detected"	"Not detected"							HPA036034	Uncertain					NA	NA			"Cluster 46: Basophils - DNA binding"	"Cluster 13: Striated muscle - Muscle contraction"	"Cluster 42: Sarcoma - Muscle contraction"	"Cluster 77: Cardiomyocytes - Muscle contraction"			"HPA036034: AB_10673494"	"unprognostic (1.66e-1)"	"unprognostic (2.65e-1)"	"unprognostic (1.04e-2)"	"unprognostic (1.32e-2)"	"unprognostic (1.93e-1)"	"unprognostic (2.50e-3)"	"unprognostic (1.96e-2)"	"unprognostic (2.77e-2)"	"unprognostic (1.39e-1)"	"unprognostic (6.57e-2)"	"unprognostic (3.63e-1)"	"unprognostic (4.33e-1)"	"unprognostic (2.98e-4)"	"unprognostic (3.67e-3)"	"unprognostic (1.29e-1)"	"unprognostic (8.86e-2)"	"unprognostic (2.96e-1)"
LPL	LIPD	ENSG00000175445	"Lipoprotein lipase"	P06858	8	19901717-19967259	"Candidate cardiovascular disease genes, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"	"Lipid degradation, Lipid metabolism"	"Heparin-binding, Hydrolase"	"Disease variant, FDA approved drug targets, Hyperlipidemia"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"adipose tissue: 937.4;heart muscle: 407.8"	"Cell type enhanced"	"Detected in many"		"Adipocytes: 409.8;Cardiomyocytes: 664.2;Granulosa cells: 513.8;Schwann cells: 156.9"	"Cancer enhanced"	"Detected in all"		"glioma: 39.2"	"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in some"		"non-classical monocyte: 4.2"	"Lineage enriched"	"Detected in single"	6	"monocytes: 4.2"	"Cancer enhanced"	"Detected in many"		"cervical cancer: 37.3"	"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Skin - Adipocytes (Skin), Testis - Endothelial cells"	"Region enhanced"	"Detected in many"		"basal ganglia: 45.3"	"Group enriched"	"Detected in all"	5	"basal ganglia: 79.2;spinal cord: 59.3"	HPA048749			Supported	Vesicles	"Secreted to blood"	NA	NA		4200000	"Cluster 7: Monocytes - Unknown function"	"Cluster 82: Adipose tissue - ECM organization"	"Cluster 28: Bone cancer CADO-ES1 - Glutamate signalling"	"Cluster 17: Granulosa cells - Transcription regulation"	Vesicles		"HPA048749: AB_2680511"	"unprognostic (5.52e-2)"	"unprognostic (3.16e-1)"	"unprognostic (6.41e-2)"	"unprognostic (3.03e-1)"	"unprognostic (4.14e-2)"	"unprognostic (1.01e-2)"	"unprognostic (1.88e-4)"	"unprognostic (1.05e-1)"	"unprognostic (6.78e-2)"	"unprognostic (8.20e-2)"	"unprognostic (2.54e-2)"	"unprognostic (5.28e-1)"	"unprognostic (1.18e-1)"	"unprognostic (4.20e-3)"	"unprognostic (4.16e-3)"	"unprognostic (1.19e-1)"	"prognostic unfavorable (6.07e-4)"
